ID_village,City,Subdistrict,Village,Positive,Recovery,Mortality,Vaccine_d1,Vaccine_d2,Vaccine_d3
3173051007,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,4683,4559,59,27490,24571,14045
3173051006,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,5957,5812,61,38725,34781,21121
3173051004,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,3638,3571,44,19932,17941,9752
3175091003,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,6641,6528,81,40633,37072,21705
3172061003,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,8541,8339,67,30492,29068,21029
3172061001,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,8978,8724,73,29319,28493,22279
3173071005,JAKARTA BARAT,PALMERAH,KEMANGGISAN,5435,5301,65,27392,25140,15092
3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,3865,3771,48,17479,15585,8711
3173081006,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,4790,4678,29,22457,20547,12818
3173081001,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,6663,6505,72,45201,40277,21491
3171041002,JAKARTA PUSAT,SENEN,KENARI,1986,1944,21,8081,7313,4261
3173041005,JAKARTA BARAT,TAMBORA,KERENDANG,1813,1778,21,16849,14886,7873
3175071003,JAKARTA TIMUR,DUREN SAWIT,KLENDER,7046,6879,119,57324,50352,25741
3172031001,JAKARTA UTARA,KOJA,KOJA,2706,2661,41,23665,20474,10122
3173071006,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,2432,2383,40,17977,15553,7319
3173071003,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,2313,2265,39,21225,18312,8955
3171041004,JAKARTA PUSAT,SENEN,KRAMAT,3123,3046,46,24031,19918,10813
3175041001,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,4809,4707,74,28764,25417,13517
3174071003,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,2072,2028,13,12162,11240,6580
3173031002,JAKARTA BARAT,TAMAN SARI,KRUKUT,2078,2041,21,16381,14307,7585
3174031005,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,1502,1481,9,10947,9890,4831
3174021008,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,2527,2503,9,5051,4651,2627
3171041005,JAKARTA PUSAT,SENEN,KWITANG,1803,1761,28,12895,11174,5880
3172031003,JAKARTA UTARA,KOJA,LAGOA,5076,4974,86,49459,42406,22646
3174061002,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,7710,7555,61,31928,29943,17707
3174091004,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,6065,5961,74,46561,41739,20716
3175101007,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,7937,7820,81,54333,48599,25844
3175081001,JAKARTA TIMUR,MAKASAR,MAKASAR,5028,4931,68,29651,27188,14404
3175071006,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,4636,4532,66,27017,25114,15121
3175071005,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,4668,4557,72,24148,22663,14553
3174031001,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,3240,3191,35,15222,13626,6623
3173031005,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,1414,1385,15,6640,6225,4249
3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,3202,3126,42,23044,20748,11271
3174011007,JAKARTA SELATAN,TEBET,MANGGARAI,2639,2603,30,24643,21866,10791
3174011006,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,2860,2792,47,20323,18547,10130
3173031003,JAKARTA BARAT,TAMAN SARI,MAPHAR,2191,2140,35,14006,12545,7662
3172041003,JAKARTA UTARA,CILINCING,MARUNDA,1692,1664,22,24492,20000,9296
3174071001,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,929,914,5,2201,2138,1674
3171061001,JAKARTA PUSAT,MENTENG,MENTENG,3444,3388,35,21266,18550,10070
3174021005,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,4195,4117,51,23982,21761,12582
3174011003,JAKARTA SELATAN,TEBET,MENTENG DALAM,5575,5454,56,30380,27858,15062
3173081003,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,5027,4940,51,27007,24613,13505
3173081002,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,7117,6967,67,36642,33961,20430
3175101004,JAKARTA TIMUR,CIPAYUNG,MUNJUL,3666,3619,37,20421,18576,9692
3172051002,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,7485,7332,89,61127,53138,26366
3172051001,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,8842,8696,74,32539,30636,20134
3175011004,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,2567,2519,34,16761,14886,8197
3173071001,JAKARTA BARAT,PALMERAH,PALMERAH,8512,8306,139,53026,47412,25792
3174081001,JAKARTA SELATAN,PANCORAN,PANCORAN,3223,3159,35,16371,14652,7416
3172021003,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,3684,3614,39,33240,29435,14955
3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,2661,2614,25,10091,9504,6456
3174021006,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,3133,3060,59,22906,20718,10772
3174041001,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,5330,5218,58,21232,19755,12239
3171041003,JAKARTA PUSAT,SENEN,PASEBAN,3909,3839,42,19676,17497,9500
3173061005,JAKARTA BARAT,KALI DERES,PEGADUNGAN,9026,8826,65,63577,57621,32404
3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,3020,2948,54,19557,16752,8470
3172061002,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,9294,9066,75,43219,41009,28611
3172011004,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,10143,9942,88,62537,57852,37776
3174041006,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,6263,6144,65,31676,29173,16354
3174041005,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,6239,6096,97,48346,43282,21659
3175051005,JAKARTA TIMUR,PASAR REBO,PEKAYON,4555,4481,51,37370,33779,18719
3173041009,JAKARTA BARAT,TAMBORA,PEKOJAN,3039,2972,40,20085,18161,10864
3174031003,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,6575,6465,71,36744,33563,17520
3174081005,JAKARTA SELATAN,PANCORAN,PENGADEGAN,3631,3570,42,18362,16779,9587
3175061003,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,8185,8003,120,82275,71485,36084
3172011001,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,7374,7238,77,72563,60932,31247
3174101001,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,3874,3800,41,23883,22071,12350
3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,3363,3282,61,26503,22249,10816
3174071008,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,1933,1889,20,9745,8934,5402
3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,2643,2596,27,12050,10938,6426
3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,2364,2306,32,14398,12698,7412
3174101004,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,4608,4531,40,31226,28542,14934
3174101003,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,6165,6068,54,44900,40406,20708
3175081002,JAKARTA TIMUR,MAKASAR,PINANG RANTI,3480,3421,47,22728,20213,10200
3173031008,JAKARTA BARAT,TAMAN SARI,PINANGSIA,1351,1320,15,9220,8257,4840
3175011001,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,3809,3723,53,26903,23599,11783
3175021002,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,5251,5168,55,35270,32089,17555
3172011005,JAKARTA UTARA,PENJARINGAN,PLUIT,9226,9035,54,39972,37230,27265
3175071002,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,9380,9186,123,51300,46810,26560
3175071004,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,9979,9757,121,60766,55637,33200
3175071007,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,3995,3890,71,30193,26639,14788
3174061003,JAKARTA SELATAN,CILANDAK,PONDOK LABU,6798,6661,74,40367,37891,21494
3174051002,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,9435,9233,87,47372,43615,25525
3175101003,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,3708,3677,20,21774,19815,9766
3101011003,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU HARAPAN,102,99,3,1948,1904,1538
3101011002,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU KELAPA,214,211,1,5162,4950,3700
3101011001,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU PANGGANG,432,430,2,5159,5225,4010
3101021003,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU PARI,266,264,2,2599,2644,2092
3101021002,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU TIDUNG,339,333,6,4292,4139,3149
